date,username,tweet
2022-10-24 11:25:23+00:00,Koramil14_klego,Babinsa Karangmojo Serma Suprapto giat pemberiah benih padi sumber dana BLT DD bersama Apem Desa Karangmojo https://t.co/K02A9AiboI
2022-10-24 11:24:06+00:00,PRDepok,"Cuma Masyarakat Kategori Ini yang Bisa Dapat BLT Balita, Cek Nama Penerima di Sini dan Dapatkan Rp750.000 https://t.co/g2pBVK1iaR"
2022-10-24 11:24:06+00:00,pikiran_rakyat,"Cuma Masyarakat Kategori Ini yang Bisa Dapat BLT Balita, Cek Nama Penerima di Sini dan Dapatkan Rp750.000… https://t.co/rIdfXwaHkL"
2022-10-24 11:23:21+00:00,Dellavanilaura,pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian https://t.co/E21F2HqY0c
2022-10-24 11:21:42+00:00,AkiP_4648,Moriya Rena menjadi cover majalah blt graph. vol.84 yang akan rilis tanggal 31 Oktober https://t.co/MhoKJFadWA
2022-10-24 11:16:04+00:00,anggun2908,"Ayo bijak manfaatkan BLT BBM
#BLTBBMBantuMasyarakat
#BansosBBMRingankanRakyat
#KPMPenyaluranBLTTepatSasaran… https://t.co/cfJacBwLWs"
2022-10-24 11:15:53+00:00,anggun2908,"Manfaatkan penggunaan BLT BBM dengan bijak
#BLTBBMBantuMasyarakat
#BansosBBMRingankanRakyat… https://t.co/3mtZcDcR9h"
2022-10-24 11:14:20+00:00,anggun2908,"BLT BBM dongkrak daya beli masyarakat
#BLTBBMBantuMasyarakat
#BansosBBMRingankanRakyat… https://t.co/437MlDjPeF"
2022-10-24 11:14:15+00:00,Deviasuryadania,pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian https://t.co/YfNufIBYRV
2022-10-24 11:13:36+00:00,Deviasuryadania,pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian https://t.co/j6PayY446r
2022-10-24 11:12:52+00:00,Deviasuryadania,pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian https://t.co/9wC8txUVjp
2022-10-24 11:11:27+00:00,Deviasuryadania,pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian https://t.co/8Y9X6czQTq
